Number of Crimes by Hour of Day by Location Type,,,,,,,,
Measures: Number of Crimes,,,,,,,,
"Data source: Virginia_SS, Offense Data",,,,,,,,
Incident Date: 2021,,,,,,,,
Jurisdiction by Geography: Virginia,,,,,,,,
Offense Type: All Offense Types,,,,,,,,
Incident Hour of Day,6:00pm-8:59pm,9:00pm-11:59pm,12:00am-2:59am,3:00am-5:59am,6:00am-8:59am,9:00am-11:59am,12:00n-2:59pm,3:00pm-5:59pm
Location Type,,,,,,,,
All Location Types,"58,014","49,394","48,823","19,213","29,096","43,366","59,479","61,150"
Residence/Home,"23,817","22,066","22,354","8,768","13,660","17,618","23,778","22,537"
Commercial,"13,513","8,526","8,627","3,878","5,761","10,852","16,099","17,024"
Air/Bus/Train Terminal,179,87,88,144,291,262,227,359
Bank/Savings and Loan,95,47,434,82,286,527,726,425
Bar/Nightclub,171,497,594,47,17,33,45,59
Commercial/Office Building,763,414,657,291,728,"1,001","1,187","1,255"
Convenience Store,"1,736","1,738","1,606",937,926,"1,351","1,600","1,642"
Department/Discount Store,"3,113","1,003",536,274,640,"2,148","4,026","4,586"
Drug Store/Doctor’s Office/Hospital,627,386,425,223,396,629,705,706
Grocery/Supermarket,"1,373",532,229,114,375,909,"1,638","1,722"
Hotel/Motel/Etc.,"1,158","1,452","1,563",744,767,"1,202","1,198","1,127"
Liquor Store,608,117,34,13,18,149,547,600
Rental Storage Facility,140,72,224,50,122,167,229,197
Restaurant,"1,164","1,065",731,273,257,544,829,945
Service/Gas Station,690,654,724,332,411,542,659,707
Specialty Store,880,266,439,215,346,897,"1,472","1,483"
ATM Separate from Bank,27,7,34,11,11,15,30,28
Auto Dealership New/Used,178,70,213,100,124,248,240,221
Gambling Facility/Casino/Race Track,13,14,31,12,2,6,5,4
Shopping Mall,598,105,65,16,44,222,736,958
Educational Facility,662,448,783,197,"1,057","1,922","2,469","1,224"
School/College(Historical Only),24,19,15,29,12,40,66,39
Daycare Facility,26,8,18,5,23,26,39,50
School – College/University,330,281,446,72,203,272,382,365
School – Elementary/Secondary,282,140,304,91,819,"1,584","1,982",770
Government/Public Building and other,"1,354",846,967,335,691,"1,299","1,577","1,630"
Church/Synagogue/Temple/Mosque,186,107,167,49,120,240,328,217
Government/Public Building,302,165,372,107,263,539,566,496
Jail/Prison/Penitentiary/Corrections Facility,176,199,176,92,124,196,206,193
Amusement Park,102,57,17,1,3,16,44,48
Arena/Stadium/Fairgrounds/Coliseum,23,54,6,1,4,17,17,27
Military Installation,5,3,4,,9,3,,7
Park/Playground,459,201,167,56,129,229,345,520
Shelter – Mission/Homeless,35,30,21,18,18,18,22,39
Tribal Lands,,,1,,,,2,2
Community Center,66,30,36,11,21,41,47,81
Road/Parking/Camps,"16,736","16,301","12,470","5,013","5,922","8,815","11,876","15,652"
Highway/Road/Alley/Street/Sidewalk,"8,400","9,227","7,046","2,801","2,597","4,236","5,914","7,779"
Parking/Drop Lot/Garage,"7,934","6,794","5,177","2,110","3,056","4,151","5,464","7,358"
Rest Area,7,8,7,,3,9,3,7
Field/Woods/Waterways/Camps,395,272,240,102,266,419,495,508
Field/Woods,293,166,164,71,186,298,389,393
Lake/Waterway/Beach,49,34,33,15,20,46,50,58
Camp/Campground,37,63,34,14,16,36,37,42
Dock/Wharf/Freight/Modal Terminal,16,9,9,2,44,39,19,15
Construction/Industrial/Farm,204,96,214,72,276,299,315,516
Construction Site,140,53,135,51,193,203,198,399
Farm Facility,27,12,33,3,25,36,45,40
Industrial Site,37,31,46,18,58,60,72,77
Cyberspace,419,256,"1,490",108,587,807,"1,126",725
Abandoned/Condemned Structure,23,10,16,4,12,24,26,27
Other/Unknown,"1,286",845,"1,902",838,"1,130","1,730","2,213","1,815"
Missing,,,,,,,,
